,Distance,speed,speed (km/h),dx,t(s)
2897,2483.0,57.88048994519842,208.36976380271432,1.0,0.01727697883944669
2898,2483.0,57.88048994519842,208.36976380271432,0.0,0.0
2899,2484.0,57.875423457493454,208.35152444697644,1.0,0.017278491288006712
2900,2485.0,57.87036696718583,208.333321081869,1.0,0.017280001016185518
2901,2485.0,57.87036696718583,208.333321081869,0.0,0.0
2902,2486.0,57.865320456214775,208.3151536423732,1.0,0.017281508027881306
2903,2487.0,57.86028390654587,208.29702206356512,1.0,0.01728301232699046
2904,2487.0,57.86028390654587,208.29702206356512,0.0,0.0
2905,2488.0,57.85525730017104,208.27892628061574,1.0,0.01728451391740753
2906,2489.0,57.85024061910854,208.26086622879075,1.0,0.017286012803025223
2907,2489.0,57.85024061910854,208.26086622879075,0.0,0.0
2908,2490.0,57.84523384540293,208.24284184345055,1.0,0.017287508987734377
2909,2491.0,57.84023696112508,208.2248530600503,1.0,0.017289002475423962
2910,2491.0,57.84023696112508,208.2248530600503,0.0,0.0
2911,2492.0,57.83524994837212,208.20689981413966,1.0,0.01729049326998105
2912,2493.0,57.83027278926747,208.1889820413629,1.0,0.01729198137529081
2913,2493.0,57.83027278926747,208.1889820413629,0.0,0.0
2914,2494.0,57.82530546596077,208.17109967745876,1.0,0.017293466795236495
2915,2495.0,57.8203479606279,208.15325265826044,1.0,0.017294949533699425
2916,2495.0,57.8203479606279,208.15325265826044,0.0,0.0
2917,2496.0,57.81540025547097,208.1354409196955,1.0,0.017296429594558963
2918,2497.0,57.810462332718274,208.1176643977858,1.0,0.01729790698169252
2919,2497.0,57.810462332718274,208.1176643977858,0.0,0.0
2920,2498.0,57.80553417462429,208.09992302864745,1.0,0.01729938169897553
2921,2499.0,57.800615763469686,208.08221674849088,1.0,0.017300853750281422
2922,2499.0,57.800615763469686,208.08221674849088,0.0,0.0
2923,2500.0,57.795707081561254,208.06454549362053,1.0,0.017302323139481636
2924,2501.0,57.790808111231925,208.04690920043492,1.0,0.017303789870445594
2925,2502.0,57.785918834840764,208.02930780542675,1.0,0.01730525394704067
2926,2502.0,57.785918834840764,208.02930780542675,0.0,0.0
2927,2503.0,57.78103923477292,208.01174124518252,1.0,0.017306715373132213
2928,2504.0,57.77616929343964,207.9942094563827,1.0,0.017308174152583494
2929,2504.0,57.77616929343964,207.9942094563827,0.0,0.0
2930,2505.0,57.77130899327822,207.97671237580158,1.0,0.01730963028925572
2931,2506.0,57.766458316752036,207.95924994030733,1.0,0.017311083787008005
2932,2506.0,57.766458316752036,207.95924994030733,0.0,0.0
2933,2507.0,57.761617246350475,207.94182208686172,1.0,0.017312534649697373
2934,2508.0,57.75678576458895,207.9244287525202,1.0,0.017313982881178722
2935,2509.0,57.75196385400887,207.90706987443193,1.0,0.01731542848530483
2936,2509.0,57.75196385400887,207.90706987443193,0.0,0.0
2937,2510.0,57.74715149717764,207.8897453898395,1.0,0.017316871465926323
2938,2511.0,57.742348676688614,207.87245523607902,1.0,0.017318311826891686
2939,2512.0,57.7375553751611,207.85519935057997,1.0,0.017319749572047235
2940,2512.0,57.7375553751611,207.85519935057997,0.0,0.0
2941,2513.0,57.73277157524035,207.83797767086526,1.0,0.017321184705237094
2942,2514.0,57.72799725959751,207.82079013455103,1.0,0.017322617230303206
2943,2514.0,57.72799725959751,207.82079013455103,0.0,0.0
2944,2515.0,57.723232410929626,207.80363667934665,1.0,0.0173240471510853
2945,2516.0,57.71847701195964,207.7865172430547,1.0,0.017325474471420885
2946,2517.0,57.71373104543635,207.76943176357085,1.0,0.017326899195145243
2947,2517.0,57.71373104543635,207.76943176357085,0.0,0.0
2948,2518.0,57.70899449413438,207.75238017888378,1.0,0.0173283213260914
2949,2519.0,57.704267340854194,207.7353624270751,1.0,0.017329740868090138
2950,2520.0,57.699549568422064,207.71837844631943,1.0,0.017331157824969957
2951,2520.0,57.699549568422064,207.71837844631943,0.0,0.0
2952,2521.0,57.69484115969006,207.7014281748842,1.0,0.017332572200557075
2953,2522.0,57.690142097536,207.6845115511296,1.0,0.017333983998675417
2954,2523.0,57.68545236486347,207.6676285135085,1.0,0.017335393223146596
2955,2523.0,57.68545236486347,207.6676285135085,0.0,0.0
2956,2524.0,57.68077194460181,207.6507790005665,1.0,0.017336799877789903
2957,2525.0,57.67610081970605,207.6339629509418,1.0,0.0173382039664223
2958,2526.0,57.67143897315694,207.617180303365,1.0,0.017339605492858397
2959,2526.0,57.67143897315694,207.617180303365,0.0,0.0
2960,2527.0,57.66678638796089,207.6004309966592,1.0,0.017341004460910452
2961,2528.0,57.662143047149996,207.58371496974,1.0,0.017342400874388347
2962,2529.0,57.65750893378198,207.56703216161515,1.0,0.017343794737099582
2963,2529.0,57.65750893378198,207.56703216161515,0.0,0.0
2964,2530.0,57.65288403094021,207.55038251138475,1.0,0.01734518605284926
2965,2531.0,57.64826832173364,207.5337659582411,1.0,0.017346574825440088
2966,2532.0,57.64366178929682,207.51718244146855,1.0,0.01734796105867234
2967,2532.0,57.64366178929682,207.51718244146855,0.0,0.0
2968,2533.0,57.639064416789886,207.50063190044358,1.0,0.01734934475634387
2969,2534.0,57.63447618739851,207.48411427463463,1.0,0.017350725922250076
