"Format","MoTeC CSV",,,"Workbook","Samples"
"Venue","Interlagos",,,"Worksheet","Graph"
"Vehicle","SupV8: Calvin Klos #10",,,"Vehicle Desc","SupV8: Calvin Klos #10"
"Driver","Joao Guilherme",,,"Engine ID",""
"Device","ADL"
"Comment","(Exported from rFactor Data Acquisition Plugin v1.3.2.0)",,,"Session",""
"Log Date","21/03/2020",,,"Origin Time","0.000","s"
"Log Time","01:18",,,"Start Time","0.000","s"
"Sample Rate","102.400","Hz",,"End Time","318.896","s"
"Duration","318.896","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","11163","m"

"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"Time","Distance","Engine RPM","Corr Speed","Throttle Pos","G Force Lat","G Force Long"
"s","m","rpm","km/h","%","G","G"


"69.219","2229","4570","88.2","0.00","0.705","0.137"
"69.229","2229","4568","88.2","0.00","0.723","0.137"
"69.238","2229","4567","88.1","0.00","0.741","0.139"
"69.248","2230","4565","88.1","0.00","0.758","0.140"
"69.258","2230","4564","88.0","0.00","0.773","0.141"
"69.268","2230","4562","88.0","0.00","0.786","0.142"
"69.277","2230","4561","87.9","0.00","0.805","0.144"
"69.287","2231","4559","87.9","0.00","0.823","0.144"
"69.297","2231","4557","87.8","0.00","0.838","0.146"
"69.307","2231","4556","87.8","0.00","0.854","0.147"
"69.316","2231","4554","87.8","0.00","0.868","0.148"
"69.326","2231","4552","87.7","0.00","0.883","0.149"
"69.336","2232","4551","87.7","0.00","0.900","0.151"
"69.346","2232","4549","87.6","0.00","0.917","0.152"
"69.355","2232","4547","87.5","0.00","0.931","0.153"
"69.365","2232","4545","87.5","0.00","0.943","0.154"
"69.375","2233","4543","87.4","0.00","0.953","0.153"
"69.385","2233","4542","87.4","0.00","0.958","0.153"
"69.395","2233","4540","87.3","0.00","0.964","0.152"
"69.404","2233","4538","87.3","0.00","0.970","0.151"
"69.414","2234","4536","87.3","0.00","0.975","0.150"
"69.424","2234","4534","87.2","0.00","0.979","0.151"
"69.434","2234","4532","87.2","0.00","0.984","0.151"
"69.443","2234","4530","87.1","0.00","0.992","0.150"
"69.453","2235","4528","87.0","0.00","0.999","0.152"
"69.463","2235","4525","87.0","0.00","1.004","0.151"
"69.473","2235","4523","86.9","0.00","1.010","0.151"
"69.482","2235","4520","86.9","0.00","1.015","0.151"
"69.492","2235","4517","86.8","0.00","1.019","0.150"
"69.502","2236","4514","86.8","0.00","1.021","0.149"
"69.512","2236","4511","86.8","0.00","1.021","0.149"
"69.521","2236","4508","86.7","0.00","1.022","0.148"
"69.531","2236","4505","86.7","0.00","1.022","0.147"
"69.541","2237","4502","86.6","0.00","1.023","0.147"
"69.551","2237","4498","86.5","0.00","1.024","0.147"
"69.561","2237","4495","86.5","0.00","1.025","0.147"
"69.570","2237","4492","86.4","0.00","1.026","0.146"
"69.580","2238","4489","86.4","0.00","1.027","0.146"
"69.590","2238","4486","86.4","0.00","1.029","0.146"
"69.600","2238","4484","86.3","0.00","1.031","0.145"
"69.609","2238","4481","86.3","0.00","1.031","0.144"
"69.619","2239","4478","86.2","0.00","1.032","0.144"
"69.629","2239","4475","86.2","0.00","1.036","0.144"
"69.639","2239","4472","86.1","0.00","1.039","0.144"
"69.648","2239","4469","86.1","0.00","1.042","0.144"
"69.658","2239","4466","86.0","0.00","1.046","0.145"
"69.668","2240","4463","86.0","0.00","1.052","0.146"
"69.678","2240","4461","85.9","0.00","1.059","0.147"
"69.688","2240","4458","85.9","0.00","1.066","0.148"
"69.697","2240","4455","85.8","0.00","1.075","0.151"
"69.707","2241","4453","85.8","0.00","1.085","0.153"
"69.717","2241","4451","85.7","0.00","1.095","0.154"
"69.727","2241","4449","85.7","0.00","1.104","0.156"
"69.736","2241","4447","85.6","0.00","1.113","0.158"
"69.746","2242","4446","85.5","0.00","1.123","0.159"
"69.756","2242","4444","85.5","0.00","1.133","0.161"
"69.766","2242","4443","85.4","0.00","1.143","0.160"
"69.775","2242","4442","85.4","0.00","1.150","0.161"
"69.785","2242","4441","85.3","0.00","1.156","0.161"
"69.795","2243","4439","85.3","0.00","1.160","0.159"
"69.805","2243","4438","85.2","0.00","1.165","0.157"
"69.814","2243","4436","85.2","0.00","1.169","0.156"
"69.824","2243","4434","85.1","0.00","1.170","0.154"
"69.834","2244","4432","85.1","0.00","1.171","0.152"
"69.844","2244","4430","85.0","0.00","1.169","0.149"
"69.854","2244","4428","85.0","0.00","1.166","0.149"
"69.863","2244","4425","84.9","0.00","1.165","0.148"
"69.873","2245","4423","84.8","0.00","1.160","0.145"
"69.883","2245","4420","84.8","0.00","1.155","0.143"
"69.893","2245","4417","84.8","0.00","1.150","0.142"
"69.902","2245","4414","84.7","0.00","1.144","0.141"
"69.912","2245","4410","84.7","0.00","1.145","0.141"
"69.922","2246","4407","84.6","0.00","1.150","0.140"
"69.932","2246","4403","84.6","0.00","1.158","0.140"
"69.941","2246","4399","84.5","0.00","1.167","0.142"
"69.951","2246","4394","84.5","0.00","1.176","0.146"
"69.961","2247","4391","84.4","0.00","1.182","0.149"
"69.971","2247","4387","84.4","0.00","1.187","0.151"
"69.980","2247","4384","84.3","0.00","1.191","0.154"
"69.990","2247","4381","84.3","0.00","1.192","0.155"
"70.000","2248","4379","84.2","0.00","1.189","0.158"
"70.010","2248","4377","84.2","0.00","1.188","0.162"
"70.020","2248","4377","84.1","0.00","1.186","0.165"
"70.029","2248","4376","84.0","0.00","1.184","0.163"
"70.039","2248","4375","84.0","0.00","1.185","0.160"
"70.049","2249","4374","83.9","0.00","1.188","0.156"
"70.059","2249","4372","83.9","0.00","1.189","0.152"
"70.068","2249","4370","83.8","0.00","1.190","0.150"
"70.078","2249","4368","83.8","0.00","1.190","0.148"
"70.088","2250","4365","83.7","0.00","1.185","0.144"
"70.098","2250","4363","83.7","0.00","1.179","0.141"
"70.107","2250","4359","83.6","0.00","1.169","0.139"
"70.117","2250","4356","83.6","0.00","1.160","0.137"
"70.127","2251","4353","83.5","0.00","1.154","0.138"
"70.137","2251","4349","83.5","0.00","1.150","0.137"
"70.146","2251","4346","83.4","0.00","1.147","0.137"
"70.156","2251","4343","83.4","0.00","1.146","0.138"
"70.166","2251","4339","83.3","0.00","1.146","0.138"
"70.176","2252","4335","83.3","0.00","1.151","0.140"
"70.186","2252","4332","83.3","0.00","1.154","0.141"
"70.195","2252","4328","83.2","0.00","1.160","0.145"
"70.205","2252","4325","83.2","0.00","1.165","0.148"
"70.215","2253","4322","83.1","0.00","1.170","0.151"
"70.225","2253","4320","83.1","0.00","1.176","0.155"
"70.234","2253","4318","83.0","0.00","1.185","0.159"
"70.244","2253","4316","83.0","0.00","1.196","0.161"
"70.254","2253","4314","82.9","0.00","1.206","0.165"
"70.264","2254","4313","82.8","0.00","1.219","0.166"
"70.273","2254","4311","82.8","0.00","1.231","0.169"
"70.283","2254","4310","82.7","0.00","1.239","0.170"
"70.293","2254","4309","82.7","0.00","1.243","0.166"
"70.303","2255","4308","82.6","0.00","1.241","0.161"
"70.313","2255","4307","82.6","0.00","1.232","0.158"
"70.322","2255","4305","82.5","0.00","1.220","0.151"
"70.332","2255","4304","82.5","0.00","1.206","0.146"
"70.342","2255","4301","82.4","0.00","1.194","0.141"
"70.352","2256","4299","82.4","0.00","1.185","0.137"
"70.361","2256","4296","82.3","0.00","1.179","0.135"
"70.371","2256","4293","82.3","0.00","1.177","0.137"
"70.381","2256","4290","82.3","0.00","1.178","0.138"
"70.391","2257","4287","82.2","0.00","1.182","0.140"
"70.400","2257","4284","82.2","0.00","1.189","0.143"
"70.410","2257","4281","82.1","0.00","1.191","0.143"
"70.420","2257","4278","82.1","0.00","1.197","0.145"
"70.430","2257","4275","82.0","0.00","1.195","0.145"
"70.439","2258","4271","82.0","0.00","1.198","0.149"
"70.449","2258","4267","81.9","0.00","1.196","0.150"
"70.459","2258","4264","81.9","0.00","1.195","0.150"
"70.469","2258","4261","81.8","0.00","1.200","0.153"
"70.479","2259","4258","81.8","0.00","1.201","0.155"
"70.488","2259","4255","81.7","0.00","1.205","0.155"
"70.498","2259","4253","81.7","0.00","1.211","0.160"
"70.508","2259","4251","81.6","0.00","1.213","0.159"
"70.518","2259","4250","81.6","0.00","1.218","0.161"
"70.527","2260","4249","81.5","0.00","1.220","0.161"
"70.537","2260","4248","81.5","0.00","1.223","0.159"
"70.547","2260","4247","81.4","0.00","1.228","0.159"
"70.557","2260","4246","81.4","0.00","1.228","0.159"
"70.566","2261","4245","81.3","0.00","1.230","0.156"
"70.576","2261","4244","81.3","0.00","1.229","0.157"
"70.586","2261","4242","81.2","0.00","1.228","0.153"
"70.596","2261","4241","81.2","0.00","1.228","0.152"
"70.605","2261","4239","81.1","0.00","1.227","0.150"
"70.615","2262","4237","81.1","0.00","1.228","0.150"
"70.625","2262","4234","81.0","0.00","1.231","0.152"
"70.635","2262","4232","81.0","0.00","1.232","0.152"
"70.645","2262","4229","80.9","0.00","1.233","0.153"
"70.654","2263","4227","80.9","0.00","1.236","0.153"
"70.664","2263","4224","80.8","0.00","1.238","0.153"
"70.674","2263","4221","80.8","0.00","1.243","0.155"
"70.684","2263","4219","80.7","0.00","1.245","0.156"
"70.693","2263","4216","80.7","0.00","1.247","0.159"
"70.703","2264","4214","80.6","0.00","1.249","0.161"
"70.713","2264","4212","80.6","0.00","1.249","0.160"
"70.723","2264","4210","80.5","0.00","1.250","0.162"
"70.732","2264","4208","80.5","0.00","1.251","0.162"
"70.742","2265","4206","80.4","0.00","1.251","0.161"
"70.752","2265","4205","80.4","0.00","1.250","0.163"
"70.762","2265","4203","80.3","0.00","1.248","0.160"
"70.771","2265","4201","80.3","0.00","1.244","0.159"
"70.781","2265","4199","80.2","0.00","1.240","0.158"
"70.791","2266","4197","80.2","0.00","1.236","0.156"
"70.801","2266","4195","80.1","0.00","1.232","0.155"
"70.811","2266","4193","80.1","0.00","1.226","0.151"
"70.820","2266","4191","80.0","0.00","1.220","0.151"
"70.830","2266","4188","80.0","0.00","1.212","0.149"
"70.840","2267","4185","79.9","0.00","1.204","0.147"
"70.850","2267","4182","79.9","0.00","1.198","0.146"
"70.859","2267","4179","79.8","0.00","1.191","0.144"
"70.869","2267","4176","79.8","0.00","1.184","0.143"
"70.879","2268","4173","79.7","0.00","1.179","0.142"
"70.889","2268","4169","79.7","0.00","1.174","0.142"
"70.898","2268","4165","79.7","0.00","1.171","0.142"
"70.908","2268","4162","79.6","0.00","1.166","0.142"
"70.918","2268","4158","79.6","0.00","1.165","0.143"
"70.928","2269","4154","79.5","0.00","1.163","0.143"
"70.938","2269","4151","79.5","0.00","1.161","0.144"
"70.947","2269","4148","79.4","0.00","1.160","0.145"
"70.957","2269","4144","79.4","0.00","1.159","0.146"
"70.967","2269","4141","79.3","0.00","1.158","0.147"
"70.977","2270","4139","79.3","0.00","1.156","0.147"
"70.986","2270","4136","79.2","0.00","1.156","0.148"
"70.996","2270","4134","79.2","0.00","1.156","0.150"
"71.006","2270","4131","79.2","0.00","1.155","0.149"
"71.016","2271","4129","79.1","0.00","1.153","0.148"
"71.025","2271","4127","79.0","0.00","1.152","0.147"
"71.035","2271","4125","79.0","0.00","1.150","0.147"
"71.045","2271","4123","79.0","0.00","1.148","0.144"
"71.055","2271","4121","78.9","0.00","1.146","0.144"
"71.064","2272","4119","78.9","0.00","1.145","0.144"
"71.074","2272","4117","78.8","0.00","1.144","0.143"
"71.084","2272","4115","78.8","0.00","1.145","0.143"
"71.094","2272","4112","78.7","0.00","1.146","0.143"
"71.104","2272","4110","78.7","0.00","1.148","0.144"
"71.113","2273","4108","78.6","0.00","1.151","0.144"
"71.123","2273","4105","78.6","0.00","1.153","0.144"
"71.133","2273","4103","78.5","0.00","1.154","0.143"
"71.143","2273","4100","78.5","0.00","1.160","0.146"
"71.152","2274","4097","78.5","0.00","1.169","0.145"
"71.162","2274","4094","78.4","0.00","1.177","0.146"
"71.172","2274","4091","78.4","0.00","1.183","0.147"
"71.182","2274","4088","78.3","0.00","1.189","0.148"
"71.191","2274","4085","78.3","0.00","1.193","0.149"
"71.201","2275","4083","78.2","0.00","1.194","0.150"
"71.211","2275","4080","78.2","0.00","1.197","0.154"
"71.221","2275","4078","78.1","0.00","1.195","0.153"
"71.230","2275","4077","78.1","0.00","1.197","0.156"
"71.240","2275","4076","78.0","0.00","1.196","0.157"
"71.250","2276","4075","78.0","0.00","1.197","0.158"
"71.260","2276","4075","77.9","0.00","1.196","0.158"
"71.270","2276","4074","77.9","0.00","1.195","0.155"
"71.279","2276","4073","77.8","0.00","1.197","0.153"
"71.289","2277","4072","77.8","0.00","1.198","0.149"
"71.299","2277","4070","77.7","0.00","1.199","0.146"
"71.309","2277","4067","77.7","0.00","1.196","0.145"
"71.318","2277","4064","77.7","0.00","1.192","0.143"
"71.328","2277","4061","77.6","0.00","1.187","0.143"
"71.338","2278","4058","77.6","0.00","1.182","0.142"
"71.348","2278","4055","77.5","0.00","1.176","0.142"
"71.357","2278","4053","77.5","0.00","1.171","0.143"
"71.367","2278","4050","77.4","0.00","1.166","0.141"
"71.377","2278","4047","77.4","0.00","1.162","0.143"
"71.387","2279","4043","77.3","0.00","1.160","0.141"
"71.396","2279","4040","77.3","0.00","1.158","0.144"
"71.406","2279","4037","77.3","0.00","1.157","0.143"
"71.416","2279","4034","77.2","0.00","1.156","0.144"
"71.426","2279","4031","77.2","0.00","1.156","0.144"
"71.436","2280","4028","77.1","0.00","1.156","0.144"
"71.445","2280","4025","77.1","0.00","1.157","0.147"
"71.455","2280","4022","77.0","0.00","1.156","0.146"
"71.465","2280","4020","77.0","0.00","1.156","0.148"
"71.475","2281","4017","76.9","0.00","1.155","0.146"
"71.484","2281","4015","76.9","0.00","1.157","0.149"
"71.494","2281","4012","76.8","0.00","1.158","0.150"
"71.504","2281","4010","76.8","0.00","1.160","0.152"
"71.514","2281","4008","76.8","0.00","1.164","0.153"
"71.523","2282","4006","76.7","0.00","1.166","0.152"
"71.533","2282","4004","76.7","0.00","1.172","0.156"
"71.543","2282","4003","76.6","0.00","1.171","0.154"
"71.553","2282","4001","76.6","0.00","1.171","0.155"
"71.563","2282","3999","76.5","0.00","1.168","0.151"
"71.572","2283","3997","76.5","0.00","1.164","0.150"
"71.582","2283","3995","76.4","0.00","1.159","0.149"
"71.592","2283","3994","76.4","0.00","1.150","0.146"
"71.602","2283","3991","76.3","0.00","1.142","0.145"
"71.611","2283","3989","76.3","0.00","1.135","0.143"
"71.621","2284","3987","76.3","0.00","1.131","0.144"
"71.631","2284","3985","76.2","0.00","1.127","0.145"
"71.641","2284","3983","76.2","0.00","1.124","0.145"
"71.650","2284","3981","76.1","0.00","1.124","0.146"
"71.660","2284","3978","76.1","0.00","1.125","0.147"
"71.670","2285","3976","76.0","0.00","1.125","0.148"
"71.680","2285","3974","76.0","0.00","1.127","0.149"
"71.689","2285","3971","75.9","0.00","1.128","0.147"
"71.699","2285","3969","75.9","0.00","1.130","0.148"
"71.709","2285","3965","75.8","0.00","1.131","0.148"
"71.719","2286","3962","75.8","0.00","1.131","0.148"
"71.729","2286","3959","75.8","0.00","1.131","0.148"
"71.738","2286","3956","75.7","0.00","1.130","0.149"
"71.748","2286","3953","75.7","0.00","1.130","0.151"
"71.758","2287","3951","75.6","0.00","1.131","0.153"
"71.768","2287","3948","75.6","0.00","1.131","0.153"
"71.777","2287","3946","75.5","0.00","1.132","0.155"
"71.787","2287","3945","75.5","0.00","1.135","0.158"
"71.797","2287","3945","75.4","2.42","1.135","0.151"
"71.807","2288","3947","75.4","4.12","1.137","0.142"
"71.816","2288","3950","75.3","5.42","1.138","0.132"
"71.826","2288","3952","75.3","6.74","1.139","0.122"
"71.836","2288","3954","75.3","7.99","1.138","0.111"
"71.846","2288","3956","75.3","8.98","1.137","0.098"
"71.855","2289","3958","75.2","9.90","1.134","0.090"
"71.865","2289","3960","75.2","10.69","1.132","0.079"
"71.875","2289","3961","75.2","11.49","1.126","0.070"
"71.885","2289","3962","75.2","12.87","1.122","0.061"
"71.895","2289","3964","75.2","13.67","1.118","0.051"
"71.904","2290","3965","75.2","14.20","1.113","0.043"
"71.914","2290","3966","75.1","14.87","1.109","0.037"
"71.924","2290","3966","75.1","15.61","1.107","0.030"
"71.934","2290","3967","75.1","16.15","1.102","0.025"
"71.943","2290","3968","75.1","17.09","1.100","0.019"
"71.953","2291","3969","75.1","17.77","1.099","0.010"
"71.963","2291","3971","75.1","18.16","1.096","0.005"
"71.973","2291","3972","75.1","18.76","1.094","0.001"
"71.982","2291","3973","75.2","19.05","1.095","0.000"
"71.992","2291","3974","75.2","19.36","1.095","-0.003"
"72.002","2292","3975","75.2","20.04","1.095","-0.007"
"72.012","2292","3977","75.2","20.68","1.096","-0.011"
"72.021","2292","3980","75.2","21.39","1.097","-0.016"
"72.031","2292","3982","75.2","21.98","1.099","-0.023"
"72.041","2292","3985","75.2","22.27","1.102","-0.026"
"72.051","2293","3988","75.2","22.53","1.104","-0.031"
"72.061","2293","3990","75.3","22.84","1.107","-0.035"
"72.070","2293","3993","75.3","23.02","1.112","-0.036"
"72.080","2293","3995","75.3","23.02","1.116","-0.036"
"72.090","2293","3997","75.3","23.02","1.118","-0.037"
"72.100","2294","3999","75.3","23.04","1.122","-0.036"
"72.109","2294","4001","75.3","23.39","1.125","-0.037"
"72.119","2294","4003","75.4","23.41","1.128","-0.039"
"72.129","2294","4005","75.4","23.41","1.130","-0.039"
"72.139","2294","4007","75.4","23.41","1.131","-0.041"
"72.148","2295","4009","75.4","23.41","1.130","-0.043"
"72.158","2295","4010","75.5","23.41","1.131","-0.043"
"72.168","2295","4012","75.5","23.41","1.132","-0.042"
"72.178","2295","4013","75.5","23.41","1.131","-0.043"
"72.188","2295","4014","75.5","23.41","1.131","-0.043"
"72.197","2296","4016","75.5","23.75","1.129","-0.045"
"72.207","2296","4017","75.6","23.81","1.127","-0.049"
"72.217","2296","4019","75.6","24.05","1.125","-0.050"
"72.227","2296","4020","75.6","24.21","1.122","-0.052"
"72.236","2297","4021","75.6","24.26","1.120","-0.055"
"72.246","2297","4023","75.7","24.41","1.118","-0.056"
"72.256","2297","4024","75.7","24.66","1.115","-0.058"
"72.266","2297","4026","75.7","25.00","1.112","-0.063"
"72.275","2297","4027","75.8","25.00","1.109","-0.061"
"72.285","2298","4029","75.8","25.31","1.106","-0.065"
"72.295","2298","4031","75.8","25.40","1.106","-0.067"
"72.305","2298","4032","75.8","25.40","1.104","-0.067"
"72.314","2298","4034","75.9","25.54","1.103","-0.067"
"72.324","2298","4036","75.9","25.88","1.103","-0.068"
"72.334","2299","4038","75.9","26.19","1.104","-0.071"
"72.344","2299","4041","76.0","26.19","1.104","-0.074"
"72.354","2299","4043","76.0","26.21","1.105","-0.073"
"72.363","2299","4045","76.0","26.83","1.105","-0.076"
"72.373","2299","4049","76.1","27.32","1.109","-0.079"
"72.383","2300","4052","76.1","27.65","1.111","-0.082"
"72.393","2300","4056","76.1","27.95","1.114","-0.086"
"72.402","2300","4059","76.2","28.17","1.118","-0.089"
"72.412","2300","4063","76.2","28.25","1.121","-0.090"
"72.422","2300","4067","76.3","28.60","1.125","-0.093"
"72.432","2301","4071","76.3","28.95","1.130","-0.096"
"72.441","2301","4075","76.3","29.24","1.133","-0.099"
"72.451","2301","4079","76.4","29.50","1.137","-0.101"
"72.461","2301","4083","76.4","29.69","1.143","-0.104"
"72.471","2301","4088","76.4","29.95","1.149","-0.105"
"72.480","2302","4092","76.5","30.16","1.153","-0.107"
"72.490","2302","4096","76.5","30.31","1.157","-0.110"
"72.500","2302","4100","76.6","30.93","1.162","-0.114"
"72.510","2302","4106","76.6","31.74","1.166","-0.123"
"72.520","2303","4111","76.7","31.74","1.171","-0.127"
"72.529","2303","4115","76.7","31.74","1.172","-0.131"
"72.539","2303","4120","76.8","32.25","1.174","-0.136"
"72.549","2303","4124","76.8","32.74","1.174","-0.143"
"72.559","2303","4129","76.9","33.09","1.173","-0.149"
"72.568","2304","4133","77.0","33.33","1.171","-0.154"
"72.578","2304","4137","77.0","33.39","1.168","-0.158"
"72.588","2304","4140","77.1","33.74","1.167","-0.164"
"72.598","2304","4144","77.1","34.09","1.165","-0.169"
"72.607","2304","4148","77.2","34.37","1.164","-0.170"
"72.617","2305","4152","77.3","35.02","1.163","-0.173"
"72.627","2305","4157","77.3","35.53","1.164","-0.179"
"72.637","2305","4163","77.4","36.03","1.166","-0.184"
"72.646","2305","4168","77.5","36.59","1.167","-0.189"
"72.656","2305","4174","77.5","37.05","1.168","-0.194"
"72.666","2306","4180","77.6","37.70","1.171","-0.197"
"72.676","2306","4186","77.7","37.70","1.174","-0.201"
"72.686","2306","4192","77.8","38.02","1.176","-0.202"
"72.695","2306","4198","77.8","38.75","1.179","-0.203"
"72.705","2306","4206","77.9","39.48","1.182","-0.207"
"72.715","2307","4214","78.0","39.94","1.187","-0.213"
"72.725","2307","4222","78.1","40.34","1.191","-0.219"
"72.734","2307","4230","78.2","40.87","1.195","-0.223"
"72.744","2307","4238","78.3","40.91","1.201","-0.227"
"72.754","2308","4245","78.3","41.26","1.206","-0.231"
"72.764","2308","4253","78.4","41.94","1.212","-0.238"
"72.773","2308","4260","78.5","42.17","1.215","-0.244"
"72.783","2308","4268","78.6","42.70","1.220","-0.250"
"72.793","2308","4276","78.7","43.71","1.223","-0.260"
"72.803","2309","4286","78.8","44.72","1.225","-0.271"
"72.813","2309","4295","78.9","45.47","1.226","-0.284"
"72.822","2309","4306","79.0","46.46","1.227","-0.299"
"72.832","2309","4318","79.1","47.75","1.228","-0.315"
"72.842","2309","4329","79.2","48.38","1.229","-0.332"
"72.852","2310","4341","79.3","49.27","1.229","-0.346"
"72.861","2310","4352","79.5","49.83","1.230","-0.360"
"72.871","2310","4363","79.6","50.41","1.232","-0.371"
"72.881","2310","4374","79.7","51.18","1.233","-0.380"
"72.891","2311","4385","79.9","52.19","1.236","-0.391"
"72.900","2311","4398","80.0","53.48","1.239","-0.404"
"72.910","2311","4412","80.2","54.75","1.243","-0.419"
"72.920","2311","4427","80.3","56.25","1.245","-0.434"
"72.930","2311","4442","80.5","57.29","1.250","-0.447"
"72.939","2312","4458","80.6","58.50","1.254","-0.459"
"72.949","2312","4473","80.8","59.41","1.260","-0.468"
"72.959","2312","4488","81.0","60.20","1.265","-0.476"
"72.969","2312","4502","81.1","60.83","1.271","-0.483"
"72.979","2313","4516","81.3","60.94","1.278","-0.486"
"72.988","2313","4529","81.5","60.94","1.285","-0.487"
"72.998","2313","4541","81.6","60.94","1.291","-0.487"
"73.008","2313","4553","81.8","60.29","1.299","-0.487"
"73.018","2313","4564","82.0","60.16","1.306","-0.487"
"73.027","2314","4575","82.2","60.16","1.313","-0.487"
"73.037","2314","4586","82.3","59.98","1.319","-0.486"
"73.047","2314","4596","82.5","59.77","1.325","-0.486"
"73.057","2314","4606","82.7","59.77","1.332","-0.486"
"73.066","2315","4616","82.8","59.73","1.335","-0.486"
"73.076","2315","4625","83.0","59.38","1.341","-0.485"
"73.086","2315","4634","83.2","59.38","1.346","-0.482"
"73.096","2315","4644","83.3","59.38","1.351","-0.482"
"73.105","2315","4653","83.5","59.38","1.355","-0.480"
"73.115","2316","4663","83.7","59.38","1.360","-0.478"
"73.125","2316","4672","83.8","59.38","1.366","-0.477"
"73.135","2316","4682","84.0","59.38","1.374","-0.476"
"73.145","2316","4691","84.1","59.38","1.380","-0.474"
"73.154","2317","4700","84.3","59.38","1.388","-0.472"
"73.164","2317","4710","84.5","59.38","1.395","-0.468"
"73.174","2317","4720","84.6","59.38","1.401","-0.466"
"73.184","2317","4730","84.8","59.38","1.406","-0.464"
"73.193","2317","4740","84.9","59.38","1.411","-0.461"
"73.203","2318","4749","85.1","59.22","1.416","-0.460"
"73.213","2318","4759","85.3","58.99","1.421","-0.457"
"73.223","2318","4768","85.4","58.88","1.426","-0.454"
"73.232","2318","4777","85.5","58.38","1.431","-0.451"
"73.242","2319","4785","85.7","58.22","1.435","-0.447"
"73.252","2319","4792","85.9","57.89","1.438","-0.446"
"73.262","2319","4800","86.0","57.55","1.441","-0.443"
"73.271","2319","4806","86.2","57.20","1.442","-0.441"
"73.281","2320","4812","86.3","56.86","1.441","-0.439"
"73.291","2320","4818","86.4","56.52","1.440","-0.436"
"73.301","2320","4823","86.6","56.25","1.438","-0.432"
"73.311","2320","4829","86.7","56.22","1.434","-0.430"
"73.320","2321","4834","86.9","55.93","1.432","-0.428"
"73.330","2321","4840","87.0","55.87","1.431","-0.425"
"73.340","2321","4844","87.2","55.58","1.432","-0.421"
"73.350","2321","4849","87.3","55.22","1.437","-0.415"
"73.359","2321","4852","87.4","54.88","1.443","-0.409"
"73.369","2322","4855","87.6","54.41","1.451","-0.400"
"73.379","2322","4858","87.7","53.76","1.462","-0.387"
"73.389","2322","4859","87.8","53.21","1.472","-0.373"
"73.398","2322","4861","87.9","52.94","1.480","-0.360"
"73.408","2323","4864","88.1","52.34","1.491","-0.343"
"73.418","2323","4866","88.2","52.03","1.498","-0.329"
"73.428","2323","4869","88.3","51.71","1.506","-0.316"
"73.438","2323","4873","88.4","51.36","1.514","-0.304"
"73.447","2324","4877","88.5","51.17","1.518","-0.296"
"73.457","2324","4883","88.6","51.07","1.522","-0.291"
"73.467","2324","4888","88.7","50.78","1.529","-0.286"
"73.477","2324","4893","88.8","50.77","1.536","-0.283"
"73.486","2325","4898","88.8","50.43","1.536","-0.284"
"73.496","2325","4901","88.9","50.09","1.539","-0.280"
"73.506","2325","4905","89.0","50.00","1.540","-0.280"
"73.516","2325","4908","89.1","50.00","1.539","-0.281"
"73.525","2326","4911","89.2","50.00","1.536","-0.283"
"73.535","2326","4914","89.3","50.00","1.531","-0.286"
"73.545","2326","4917","89.4","50.00","1.526","-0.288"
"73.555","2326","4919","89.5","50.00","1.521","-0.288"
"73.564","2327","4921","89.6","50.00","1.516","-0.289"
"73.574","2327","4924","89.7","50.00","1.506","-0.289"
"73.584","2327","4926","89.8","50.00","1.498","-0.288"
"73.594","2327","4928","89.9","50.00","1.491","-0.287"
"73.604","2327","4931","90.0","50.00","1.483","-0.287"
"73.613","2328","4933","90.0","50.00","1.475","-0.286"
"73.623","2328","4935","90.2","50.00","1.468","-0.283"
"73.633","2328","4938","90.2","50.00","1.460","-0.281"
"73.643","2328","4941","90.3","50.00","1.452","-0.280"
"73.652","2329","4945","90.4","50.00","1.444","-0.277"
"73.662","2329","4948","90.5","50.00","1.434","-0.277"
"73.672","2329","4951","90.6","50.00","1.425","-0.276"
"73.682","2329","4955","90.7","50.00","1.416","-0.276"
"73.691","2330","4959","90.8","50.00","1.406","-0.277"
"73.701","2330","4962","90.9","50.00","1.397","-0.276"
"73.711","2330","4966","91.0","50.00","1.386","-0.276"
"73.721","2330","4969","91.1","50.00","1.374","-0.280"
"73.730","2331","4974","91.2","50.69","1.366","-0.282"
"73.740","2331","4979","91.3","50.78","1.355","-0.288"
"73.750","2331","4984","91.3","50.78","1.342","-0.293"
"73.760","2331","4989","91.4","50.99","1.333","-0.297"
"73.770","2332","4994","91.5","51.33","1.326","-0.300"
"73.779","2332","4999","91.7","51.56","1.317","-0.305"
"73.789","2332","5004","91.8","51.62","1.306","-0.310"
"73.799","2332","5009","91.9","51.97","1.298","-0.311"
"73.809","2333","5015","92.0","52.31","1.287","-0.317"
"73.818","2333","5021","92.1","52.34","1.279","-0.320"
"73.828","2333","5027","92.2","53.11","1.271","-0.324"
"73.838","2333","5035","92.3","53.72","1.260","-0.333"
"73.848","2334","5043","92.4","53.91","1.250","-0.342"
"73.857","2334","5050","92.5","54.09","1.240","-0.348"
"73.867","2334","5057","92.6","54.53","1.229","-0.355"
"73.877","2334","5065","92.8","54.72","1.216","-0.363"
