"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
"27.805555555555557","2019-01-12T18:38:33.802Z","-7.9424566","-34.915005050000005","61.190167316612815","8.8975","9.059999999999999","3","153"
"139.02777777777777","2019-01-12T18:38:33.912Z","-7.94246345","-34.9150001","61.156167316612816","8.621500000000001","8.71","3","153"
"250.25","2019-01-12T18:38:34.022Z","-7.942470699999999","-34.91499555","61.13866731661282","8.5965","8.585","3","153"
"361.4722222222222","2019-01-12T18:38:34.132Z","-7.94247805","-34.91499125","61.12816731661282","8.5615","8.605","3","153"
"400","2019-01-12T18:38:34.170Z","-7.9424807748251744","-34.91498977222777","61.09456591801141","8.639860139860142","8.570359640359639","3","153"
"528.3055555555554","2019-01-12T18:38:34.297Z","-7.94248885","-34.9149862","61.15866731661282","8.1145","8.375","3","153"
"639.5277777777776","2019-01-12T18:38:34.407Z","-7.94249615","-34.91498395","61.199167316612815","7.8285","7.91","3","153"
"750.7499999999998","2019-01-12T18:38:34.517Z","-7.9425036","-34.9149819","61.11366731661282","7.6850000000000005","7.79","3","153"
"861.972222222222","2019-01-12T18:38:34.627Z","-7.942511","-34.91498025","61.10466731661282","7.5440000000000005","7.6","3","153"
"900","2019-01-12T18:38:34.665Z","-7.942513361738262","-34.91497957132867","61.0685789050244","7.367161838161838","7.559780219780218","3","153"
"1028.8055555555557","2019-01-12T18:38:34.792Z","-7.94252165","-34.91497805","61.13466731661282","7.29","7.355","3","153"
"1140.0277777777778","2019-01-12T18:38:34.902Z","-7.94252865","-34.91497755","61.19266731661281","7.080500000000001","7.17","3","153"
"1251.25","2019-01-12T18:38:35.012Z","-7.9425355","-34.9149776","61.20016731661282","6.875","6.975","3","153"
"1362.4722222222222","2019-01-12T18:38:35.122Z","-7.9425422","-34.91497845","61.22366731661282","6.764","6.795","3","153"
"1400","2019-01-12T18:38:35.159Z","-7.942544576923077","-34.91497867482518","61.29425822570373","6.786426573426573","6.798251748251748","3","153"
"1529.3055555555552","2019-01-12T18:38:35.287Z","-7.9425522","-34.91498095","61.14216731661281","6.686","6.775","3","153"
"1640.5277777777774","2019-01-12T18:38:35.397Z","-7.942558050000001","-34.914983250000006","61.24816731661282","6.279","6.484999999999999","3","153"
"1751.7499999999995","2019-01-12T18:38:35.507Z","-7.942563249999999","-34.9149861","61.32616731661282","6.0375","6.140000000000001","3","153"
"1862.9722222222217","2019-01-12T18:38:35.617Z","-7.94256805","-34.91498945","61.38316731661282","5.890499999999999","5.945","3","153"
"1900","2019-01-12T18:38:35.654Z","-7.942569748251747","-34.91499076483516","61.38715233159783","5.950814185814186","5.804925074925076","3","153"
"2029.8055555555557","2019-01-12T18:38:35.782Z","-7.9425746","-34.914995950000005","61.44066731661282","5.9605","5.984999999999999","3","153"
"2141.0277777777783","2019-01-12T18:38:35.892Z","-7.94257855","-34.91500035","61.446167316612815","5.82","5.91","3","153"
"2252.250000000001","2019-01-12T18:38:36.002Z","-7.9425824","-34.9150051","61.45316731661282","5.898","5.824999999999999","3","153"
"2363.4722222222235","2019-01-12T18:38:36.112Z","-7.9425857","-34.915010249999995","61.50666731661282","6.0255","5.9350000000000005","3","153"
"2400","2019-01-12T18:38:36.148Z","-7.942586635264735","-34.91501205484515","61.480774709220206","6.085762237762236","6.024115884115881","3","153"
"2530.3055555555575","2019-01-12T18:38:36.277Z","-7.94259005","-34.9150188","61.55566731661282","6.336","6.255000000000001","3","153"
"2641.52777777778","2019-01-12T18:38:36.387Z","-7.942592899999999","-34.91502475","61.60616731661282","6.523","6.390000000000001","3","153"
"2752.7500000000027","2019-01-12T18:38:36.497Z","-7.9425954999999995","-34.91503105","61.618667316612814","6.7455","6.71","3","153"
"2863.9722222222254","2019-01-12T18:38:36.607Z","-7.94259755","-34.91503725","61.65066731661282","6.5785","6.65","3","153"
"2900","2019-01-12T18:38:36.643Z","-7.9425983182817195","-34.915039187912086","61.70654094298645","6.522680319680311","6.571478521478521","3","153"
"3030.8055555555557","2019-01-12T18:38:36.774Z","-7.9426000000000005","-34.91504715000001","61.696167316612815","6.749499999999999","6.63","3","153"
"3142.0277777777783","2019-01-12T18:38:36.890Z","-7.94260075","-34.91505415","61.72966731661282","6.85","6.84","3","153"
"3253.250000000001","2019-01-12T18:38:37.006Z","-7.9426013","-34.9150609","61.74116731661282","6.7555","6.825","3","153"
"3364.4722222222235","2019-01-12T18:38:37.122Z","-7.94260125","-34.915069200000005","61.732167316612816","6.394","6.665","3","153"
"3400","2019-01-12T18:38:37.159Z","-7.942601116683316","-34.91507277212788","61.726334149779646","6.1504115884115835","6.123886113886112","3","153"
"3531.3055555555575","2019-01-12T18:38:37.296Z","-7.9425997","-34.9150808","61.72216731661281","6.5495","6.404999999999999","3","153"
"3642.52777777778","2019-01-12T18:38:37.412Z","-7.9425987","-34.9150877","61.72966731661282","6.6525","6.625","3","153"
"3753.7500000000027","2019-01-12T18:38:37.528Z","-7.94259735","-34.91509495","61.73566731661282","7.0595","6.824999999999999","3","153"
"3864.9722222222254","2019-01-12T18:38:37.644Z","-7.942596","-34.91510255","61.74116731661282","7.403499999999999","7.23","3","153"
"3900","2019-01-12T18:38:37.679Z","-7.9425956701298706","-34.91510499350649","61.75481666726216","7.546805194805182","7.406883116883101","3","153"
"4033.4411764705883","2019-01-12T18:38:37.819Z","-7.9425933","-34.91511405","61.76716731661282","7.827","7.705","3","153"
"4151.205882352941","2019-01-12T18:38:37.935Z","-7.942591200000001","-34.915122","61.79816731661282","8.106","7.98","3","153"
"4268.970588235295","2019-01-12T18:38:38.051Z","-7.94258915","-34.9151301","61.82616731661282","8.232","8.15","3","153"
"4300","2019-01-12T18:38:38.082Z","-7.942587286513486","-34.91513641868133","61.848868615314124","8.641701298701298","7.999170829170827","3","153"
"4445.617647058824","2019-01-12T18:38:38.226Z","-7.94258595","-34.91514735","61.89666731661282","8.751","8.684999999999999","3","153"
"4563.3823529411775","2019-01-12T18:38:38.343Z","-7.9425848","-34.91515615","61.86516731661281","8.8085","8.815000000000001","3","153"
"4600","2019-01-12T18:38:38.379Z","-7.942584351248752","-34.91515864845155","61.87041107285657","8.56830669330669","8.90659340659341","3","153"
"4740.029411764707","2019-01-12T18:38:38.517Z","-7.9425835","-34.91516915","61.87216731661282","8.717500000000001","8.77","3","153"
"4857.79411764706","2019-01-12T18:38:38.634Z","-7.9425832","-34.9151776","61.89016731661282","8.5405","8.585","3","153"
"4900","2019-01-12T18:38:38.674Z","-7.942583051748252","-34.91518063216784","61.90173375017925","8.479552447552448","8.5","3","153"
"5032.805555555556","2019-01-12T18:38:38.807Z","-7.942584650000001","-34.91519045","61.90816731661282","8.501999999999999","8.51","3","153"
"5144.027777777778","2019-01-12T18:38:38.917Z","-7.9425861","-34.9151986","61.946167316612815","8.3085","8.43","3","153"
"5255.250000000001","2019-01-12T18:38:39.027Z","-7.9425878999999995","-34.9152068","61.978667316612814","8.358","8.29","3","153"
"5366.4722222222235","2019-01-12T18:38:39.137Z","-7.94259005","-34.915215","62.02466731661282","8.4045","8.415","3","153"
"5400","2019-01-12T18:38:39.170Z","-7.942590844055943","-34.915217321878124","62.05700647745197","8.35821878121878","8.362057942057943","3","153"
"5533.3055555555575","2019-01-12T18:38:39.302Z","-7.94259425","-34.915227099999996","62.00466731661282","8.4775","8.42","3","153"
"5644.52777777778","2019-01-12T18:38:39.412Z","-7.94259735","-34.91523525","61.975667316612814","8.57","8.535","3","153"
"5755.750000000003","2019-01-12T18:38:39.522Z","-7.94260055","-34.9152436","61.96316731661281","8.756499999999999","8.645","3","153"
"5866.972222222225","2019-01-12T18:38:39.632Z","-7.9426039","-34.915251850000004","61.975667316612814","8.822","8.825","3","153"
"5900","2019-01-12T18:38:39.665Z","-7.942604915984016","-34.91525436623376","61.963378105823615","8.821700299700291","8.766573426573418","3","153"
"6035.441176470588","2019-01-12T18:38:39.799Z","-7.9426105","-34.9152637","61.85616731661281","8.9455","8.940000000000001","3","153"
"6153.205882352941","2019-01-12T18:38:39.915Z","-7.94261575","-34.9152703","61.91866731661281","8.573","8.780000000000001","3","153"
"6200","2019-01-12T18:38:39.960Z","-7.942617825174826","-34.91527291358641","61.9755779060234","8.407012987012989","8.605794205794206","3","153"
"6329.852941176471","2019-01-12T18:38:40.090Z","-7.94262395","-34.915279749999996","61.95766731661281","8.2605","8.315","3","153"
"6447.617647058824","2019-01-12T18:38:40.206Z","-7.9426307000000005","-34.91528735","61.97816731661281","8.171","8.23","3","153"
"6565.3823529411775","2019-01-12T18:38:40.323Z","-7.942638","-34.9152942","62.002667316612815","8.039","8.115","3","153"
"6600","2019-01-12T18:38:40.357Z","-7.9426394813186825","-34.91529538461538","61.98416731661282","7.604703296703296","8.336593406593414","3","153"
"6742.029411764707","2019-01-12T18:38:40.497Z","-7.9426472","-34.915300450000004","61.98666731661282","7.6235","7.615","3","153"
"6859.79411764706","2019-01-12T18:38:40.614Z","-7.9426533500000005","-34.91530435","61.98916731661282","7.4215","7.5600000000000005","3","153"
"6900","2019-01-12T18:38:40.652Z","-7.942655585014985","-34.91530567422577","62.07600447944999","7.317740259740263","7.423546453546458","3","153"
"7036.441176470588","2019-01-12T18:38:40.789Z","-7.942663100000001","-34.9153091","61.94816731661282","7.237500000000001","7.22","3","153"
"7154.205882352941","2019-01-12T18:38:40.905Z","-7.94266985","-34.9153117","61.95266731661282","7.224","7.265000000000001","3","153"
"7200","2019-01-12T18:38:40.949Z","-7.942672372027972","-34.915312749950054","62.02005442949993","7.147718281718281","7.234445554445554","3","153"
"7330.852941176471","2019-01-12T18:38:41.080Z","-7.9426802","-34.91531455","62.09016731661282","7.249499999999999","7.234999999999999","3","153"
"7448.617647058824","2019-01-12T18:38:41.196Z","-7.94269055","-34.91531595","62.141167316612815","6.977","7.140000000000001","3","153"
"7566.3823529411775","2019-01-12T18:38:41.313Z","-7.9426973499999995","-34.9153157","62.23566731661282","6.9125","6.87","3","153"
"7600","2019-01-12T18:38:41.346Z","-7.942699355344655","-34.915315657442555","62.2333801038256","6.842220779220777","7.047162837162838","3","153"
"7743.029411764707","2019-01-12T18:38:41.487Z","-7.94270795","-34.91531415","62.234667316612814","7.01","7.035","3","153"
"7860.79411764706","2019-01-12T18:38:41.604Z","-7.9427146","-34.9153127","62.21366731661281","6.8995","6.915","3","153"
"7900","2019-01-12T18:38:41.641Z","-7.942716947252746","-34.91531223416583","62.186810673256176","6.929477522477521","6.868291708291706","3","153"
"8035.805555555556","2019-01-12T18:38:41.777Z","-7.942724800000001","-34.91530985","62.249667316612815","7.0745000000000005","6.970000000000001","3","153"
"8147.027777777778","2019-01-12T18:38:41.887Z","-7.9427319999999995","-34.9153075","62.257167316612815","7.4115","7.275","3","153"
"8258.25","2019-01-12T18:38:41.997Z","-7.9427391499999995","-34.9153047","62.27466731661282","7.5945","7.465","3","153"
"8369.472222222223","2019-01-12T18:38:42.107Z","-7.9427464","-34.91530165","62.29916731661282","7.7989999999999995","7.73","3","153"
"8400","2019-01-12T18:38:42.137Z","-7.942748571328671","-34.915300906993004","62.254027456472954","7.94444055944056","7.745384615384612","3","153"
