"cts","date","Accelerometer (z) [m/s2]","Accelerometer (x) [m/s2]","Accelerometer (y) [m/s2]"
"49.80099502487562","2019-01-12T18:38:33.823Z","9.963886990202779","-4.176236044657098","3.107199817726133"
"151.8930348258707","2019-01-12T18:38:33.924Z","9.547368421052632","-2.3904306220095695","5.895693779904306"
"251.49502487562222","2019-01-12T18:38:34.023Z","10.657894736842106","-2.8693779904306216","6.757416267942583"
"351.0970149253737","2019-01-12T18:38:34.121Z","11.442105263157895","-1.0827751196172248","3.5822966507177036"
"450.6990049751252","2019-01-12T18:38:34.220Z","10.882775119617225","-2.3717703349282298","2.889473684210526"
"550.3009950248762","2019-01-12T18:38:34.318Z","11.821052631578945","-1.3894736842105266","4.193301435406699"
"649.9029850746267","2019-01-12T18:38:34.417Z","8.700000000000001","-2.7991626794258373","4.463636363636364"
"749.504975124377","2019-01-12T18:38:34.515Z","9.659808612440191","0.6806220095693781","5.18133971291866"
"849.1069651741275","2019-01-12T18:38:34.614Z","10.554066985645932","-0.6607655502392344","5.469856459330144"
"948.7089552238779","2019-01-12T18:38:34.712Z","11.522488038277508","-1.3995215311004783","5.767464114832535"
"1049.0277777777783","2019-01-12T18:38:34.812Z","10.538755980861243","-5.0181818181818185","3.692822966507177"
"1150.1388888888914","2019-01-12T18:38:34.912Z","9.620574162679425","-4.3315789473684205","3.1038277511961723"
"1251.2500000000045","2019-01-12T18:38:35.012Z","14.44736842105263","-3.1224880382775124","3.5784688995215315"
"1349.8333333333403","2019-01-12T18:38:35.110Z","7.835935532611432","-3.115713925963233","1.999874087131705"
"1448.4166666666754","2019-01-12T18:38:35.207Z","14.823444976076553","-5.456698564593301","5.707177033492822"
"1549.5277777777885","2019-01-12T18:38:35.307Z","10.643540669856458","-8.816267942583734","2.1545454545454548"
"1650.6388888889012","2019-01-12T18:38:35.407Z","14.10287081339713","-3.760287081339713","5.088516746411483"
"1751.7500000000143","2019-01-12T18:38:35.507Z","7.067942583732058","-4.456937799043062","3.2033492822966507"
"1850.3333333333503","2019-01-12T18:38:35.605Z","13.244145051624278","-4.045958196927726","4.2411231427851925"
"1948.9166666666852","2019-01-12T18:38:35.702Z","7.760765550239234","-2.3729665071770327","5.9425837320574155"
"2049.3109452736317","2019-01-12T18:38:35.801Z","12.851196172248805","-0.33732057416267947","4.214832535885167"
"2148.912935323382","2019-01-12T18:38:35.899Z","8.541148325358854","-2.6425837320574157","2.8665071770334922"
"2248.5149253731324","2019-01-12T18:38:35.998Z","11.873684210526314","0.005023923444976042","0.493062200956938"
"2348.116915422883","2019-01-12T18:38:36.096Z","12.645454545454546","-2.5921052631578947","-0.4954545454545455"
"2447.718905472633","2019-01-12T18:38:36.195Z","11.23732057416268","1.520574162679426","3.700478468899521"
"2549.810945273627","2019-01-12T18:38:36.296Z","12.30154932786512","0.20631123262702222","1.7323991797676008"
"2651.9029850746215","2019-01-12T18:38:36.397Z","9.189473684210526","0.14114832535885166","2.117224880382775"
"2751.504975124372","2019-01-12T18:38:36.495Z","12.351196172248802","-0.31411483253588507","4.782296650717704"
"2851.1069651741223","2019-01-12T18:38:36.594Z","11.35311004784689","-2.172966507177034","2.5727272727272723"
"2950.7089552238726","2019-01-12T18:38:36.692Z","10.496172248803827","-1.9416267942583731","3.1509569377990427"
"3051.027777777779","2019-01-12T18:38:36.794Z","9.660287081339714","-2.7516746411483255","2.024401913875598"
"3149.6111111111145","2019-01-12T18:38:36.897Z","8.026315789473681","-4.240871317048603","6.667464114832535"
"3248.1944444444493","2019-01-12T18:38:37.000Z","8.860287081339713","-3.8244019138755982","7.982775119617224"
"3349.3055555555625","2019-01-12T18:38:37.106Z","8.14401913875598","-6.236363636363636","5.303349282296652"
"3450.4166666666756","2019-01-12T18:38:37.211Z","12.005263157894738","-2.166507177033493","3.5478468899521527"
"3551.5277777777887","2019-01-12T18:38:37.317Z","10.545933014354068","-0.8315789473684211","2.319138755980862"
"3650.1111111111245","2019-01-12T18:38:37.420Z","10.899143792495591","-3.177663057164442","2.352681944094687"
"3748.694444444459","2019-01-12T18:38:37.523Z","11.30861244019139","-2.3607655502392344","2.34688995215311"
"3849.805555555572","2019-01-12T18:38:37.628Z","9.806220095693782","-3.323444976076555","1.141866028708134"
"3950.916666666685","2019-01-12T18:38:37.734Z","11.64019138755981","-3.5727272727272728","2.014354066985646"
"4051.310945273631","2019-01-12T18:38:37.836Z","10.051196172248805","-2.180143540669856","2.360047846889952"
"4150.912935323387","2019-01-12T18:38:37.934Z","11.280382775119618","-0.3416267942583733","3.830143540669856"
"4250.514925373146","2019-01-12T18:38:38.033Z","11.912440191387558","-0.8495215311004785","1.9966507177033497"
"4350.116915422906","2019-01-12T18:38:38.131Z","10.611004784688996","2.461961722488038","-0.1772727272727273"
"4449.718905472665","2019-01-12T18:38:38.230Z","12.536842105263156","1.4755980861244016","1.5045454545454546"
"4549.3208955224245","2019-01-12T18:38:38.328Z","10.577511961722486","3.139234449760766","3.371291866028708"
"4648.922885572185","2019-01-12T18:38:38.427Z","10.010047846889952","1.9320574162679425","2.2454545454545456"
"4748.524875621944","2019-01-12T18:38:38.525Z","11.312918660287085","2.2631578947368425","2.7861244019138756"
"4848.126865671704","2019-01-12T18:38:38.624Z","9.264114832535887","4.221052631578948","2.4564593301435402"
"4947.728855721463","2019-01-12T18:38:38.722Z","11.433492822966505","3.4435406698564592","4.714832535885168"
"5049.820895522395","2019-01-12T18:38:38.823Z","9.505468215994533","4.357598541809068","1.5555935292777396"
