,Distance,speed,speed (km/h),dx,t(s)
0,0.0,15.408510423834985,55.47063752580595,0.0,0.0
1,1.0,16.308869111474852,58.71192880130947,1.0,0.061316329977558294
2,3.0,17.885397685009437,64.38743166603398,2.0,0.11182306567755497
3,4.0,18.558467826530002,66.81048417550801,1.0,0.05388375858110785
4,6.0,19.79015742809396,71.24456674113826,2.0,0.10106033806284001
5,7.0,20.34093990340444,73.22738365225598,1.0,0.049161936702474165
6,8.0,20.862361772405716,75.10450238066058,1.0,0.0479332115370889
7,10.0,21.842448128856443,78.6328132638832,2.0,0.09156482772449691
8,11.0,22.2944362069389,80.25997034498005,1.0,0.04485424034579358
9,13.0,23.153708233501735,83.35334964060625,2.0,0.08637925207618126
10,14.0,23.55545241326798,84.79962868776472,1.0,0.042453016076937425
11,15.0,23.943407663079903,86.19626758708765,1.0,0.04176514947544302
12,17.0,24.688251889030074,88.87770680050826,2.0,0.08101019096004428
13,18.0,25.040786771033346,90.14683237572005,1.0,0.03993484746081456
14,20.0,25.72113485169755,92.59608546611118,2.0,0.07775706676752653
15,21.0,26.045260035683043,93.76293612845896,1.0,0.038394702092816896
16,23.0,26.673280483694068,96.02380974129865,2.0,0.07498140325194128
17,24.0,26.97401033677113,97.10643721237606,1.0,0.03707272250269713
18,25.0,27.26784702018294,98.1642492726586,1.0,0.03667322906938074
19,27.0,27.83951127161242,100.22224057780471,2.0,0.0718403416097097
20,28.0,28.114707987443758,101.21294875479754,1.0,0.03556857145543207
21,30.0,28.651406691014845,103.14506408765344,2.0,0.0698046005757618
22,31.0,28.91059086807625,104.0781271250745,1.0,0.034589400284593404
23,32.0,29.164937464885952,104.99377487358943,1.0,0.03428774710057176
24,34.0,29.66227651702932,106.78419546130556,2.0,0.06742570816679516
25,35.0,29.90328372206842,107.6518213994463,1.0,0.0334411434307466
26,37.0,30.375307336279036,109.35110641060453,2.0,0.065842955195758
27,38.0,30.604540291888053,110.176345050797,1.0,0.03267489040719416
28,39.0,30.830156645915775,110.98856392529679,1.0,0.03243577421564853
29,41.0,31.272844855051495,112.58224147818538,2.0,0.06395324791428243
30,42.0,31.48835445167056,113.35807602601402,1.0,0.0317577725928751
31,44.0,31.91170664609463,114.88214392594067,2.0,0.06267292508609097
32,45.0,32.1181250457354,115.62525016464743,1.0,0.03113506777173404
33,47.0,32.52403626094337,117.08653053939614,2.0,0.061492982726799775
34,48.0,32.722223970654326,117.80000629435558,1.0,0.03056027001394562
35,49.0,32.9178431075723,118.50423518726029,1.0,0.030378661102797577
36,51.0,33.30297868422783,119.8907232632202,2.0,0.06005468816959585
37,52.0,33.49132500163679,120.56877000589245,1.0,0.02985847827612458
38,54.0,33.86243439130333,121.904763808692,2.0,0.05906249907755146
39,55.0,34.04411417347886,122.5588110245239,1.0,0.02937365310503578
40,56.0,34.2236970632942,123.20530942785913,1.0,0.02921951997619
41,58.0,34.57786910790641,124.48032878846307,2.0,0.05784046419282354
42,59.0,34.75147514833206,125.10531053399542,1.0,0.028775756877416934
43,61.0,35.09407311460347,126.33866321257248,2.0,0.056989680094094095
44,62.0,35.26214741226792,126.94373068416452,1.0,0.02835902159640152
45,64.0,35.59401729251744,128.13846225306278,2.0,0.0561892180802092
46,65.0,35.7569537815129,128.72503361344644,1.0,0.027966588152624487
47,66.0,35.91826049293142,129.3057377745531,1.0,0.027840991915429658
48,68.0,36.23698499893007,130.45314599614827,2.0,0.05519222970837811
49,69.0,36.39361257353029,131.01700526470904,1.0,0.027477349163389113
50,71.0,36.703235298998386,132.1316470763942,2.0,0.0544911091272267
51,72.0,36.855486074569846,132.67974986845144,1.0,0.0271330026139581
52,73.0,37.006342088127234,133.22283151725804,1.0,0.027022395178064103
53,75.0,37.30472364201402,134.29700511125046,2.0,0.05361251350345142
54,76.0,37.451559344352184,134.82561363966786,1.0,0.02670115790921809
55,78.0,37.74210132161801,135.87156475782484,2.0,0.05299122014847741
56,79.0,37.88515443043937,136.38655594958175,1.0,0.0263955635138321
57,81.0,38.16831351120029,137.40592864032104,2.0,0.052399485751790174
58,82.0,38.30779983022754,137.90807938881915,1.0,0.026104344400665107
59,83.0,38.44614352742079,138.40611669871484,1.0,0.026010411142713807
60,85.0,38.72010155473889,139.39236559706,2.0,0.051652757087235046
61,86.0,38.85513661262214,139.8784918054397,1.0,0.02573662293276171
62,88.0,39.12262434030717,140.84144762510581,2.0,0.051121314935395186
63,89.0,39.254525215448,141.3162907756128,1.0,0.02547476996630355
64,91.0,39.515879282635325,142.2571654174872,2.0,0.05061256477921448
65,92.0,39.64480602959781,142.7213017065521,1.0,0.025223985186191233
66,93.0,39.772776048845294,143.18199377584307,1.0,0.02514282630842492
67,95.0,40.026431200509634,144.0951523218347,2.0,0.04996698281645792
68,96.0,40.15162074744921,144.54583469081714,1.0,0.024905594877226194
69,98.0,40.39982602315261,145.4393736833494,2.0,0.04950516368198779
70,99.0,40.52236736824329,145.88052252567584,1.0,0.024677728991314648
71,101.0,40.76537891374487,146.75536408948153,2.0,0.049061239053653435
72,102.0,40.885394441703376,147.18741999013216,1.0,0.024458612021607238
73,103.0,41.00459471717542,147.61654098183152,1.0,0.02438751088499685
74,105.0,41.241049375918635,148.4677777533071,2.0,0.04849537124455021
75,106.0,41.357873285546965,148.88834382796907,1.0,0.024179192994178034
76,108.0,41.5896614214075,149.722781117067,2.0,0.048088874293420854
77,109.0,41.70421193200211,150.1351629552076,1.0,0.023978393396582583
78,111.0,41.93153352712367,150.95352069764522,2.0,0.04769680075512353
79,112.0,42.04390657587646,151.35806367315527,1.0,0.023784659453452647
80,113.0,42.15557485210974,151.76006946759506,1.0,0.02372165492958409
81,115.0,42.37723064535409,152.55803032327472,2.0,0.047195155736758
82,116.0,42.48683951217521,152.95262224383075,1.0,0.023536700104827418
83,118.0,42.70444489443931,153.73600161998152,2.0,0.046833532315986776
84,119.0,42.812076274098466,154.12347458675447,1.0,0.023357895412444766
85,121.0,43.02579074389974,154.89284667803906,2.0,0.046483747664383436
86,122.0,43.1315214116026,155.27347708176936,1.0,0.02318489975016265
87,123.0,43.236635441699214,155.65188759011718,1.0,0.02312853416516213
88,125.0,43.44539448195588,156.40342013504116,2.0,0.04603479894354872
89,126.0,43.548702881625914,156.7753303738533,1.0,0.022962796451554482
90,128.0,43.7539059596554,157.51406145475943,2.0,0.04571020474935792
91,129.0,43.85547511316895,157.87971040740823,1.0,0.022802170023685807
92,131.0,44.05725174383189,158.60610627779482,2.0,0.045395477948304036
93,132.0,44.15714417284871,158.96571902225537,1.0,0.022646392078382614
94,133.0,44.2564915467007,159.32336956812253,1.0,0.0225955552519289
95,135.0,44.45388937519957,160.03400175071846,2.0,0.04499043903941917
96,136.0,44.55163787870187,160.38589636332674,1.0,0.022445863892201705
97,138.0,44.74588337954786,161.0851801663723,2.0,0.04469684916119337
98,139.0,44.84208765277556,161.431515549992,1.0,0.022300478241407292
99,141.0,45.03328761787559,162.11983542435212,2.0,0.0444115920865195
100,142.0,45.12799934060717,162.4607976261858,1.0,0.02215919195647076
101,143.0,45.222225044026665,162.800010158496,1.0,0.022113020733200046
102,145.0,45.409521534146656,163.47427752292796,2.0,0.04404362636800869
103,146.0,45.502319344974616,163.80834964190862,1.0,0.021976901713922026
104,148.0,45.686797855579,164.47247228008442,2.0,0.04377632256745636
105,149.0,45.7782133572737,164.8015680861853,1.0,0.02184445234233044
106,150.0,45.86917825684189,165.1290417246308,1.0,0.021801131783973894
107,152.0,46.05003834991175,165.78013805968232,2.0,0.04343101703418739
108,153.0,46.13967813865939,166.1028412991738,1.0,0.021673319805023145
109,155.0,46.31792150076556,166.744517402756,2.0,0.043179830510463285
110,156.0,46.40627661657821,167.06259581968158,1.0,0.021548809189375028
111,157.0,46.494212549726996,167.37916517901718,1.0,0.021508053264273894
112,159.0,46.66909030866282,168.00872511118615,2.0,0.04285491717906393
113,160.0,46.755792446587726,168.32085280771582,1.0,0.02138772433688012
114,161.0,46.8420917942221,168.63153045919955,1.0,0.021348320745218054
115,163.0,47.01373582442391,169.24944896792607,2.0,0.04254075888521474
116,165.0,47.183808783980204,169.86171162232873,2.0,0.04238742169282099
117,167.0,47.35234068357796,170.46842646088064,2.0,0.0422365604556822
118,168.0,47.435924158880596,170.76932697197014,1.0,0.021081069205073927
119,169.0,47.519134683158015,171.06888485936886,1.0,0.021044154247918688
120,171.0,47.684672860959026,171.6648222994525,2.0,0.04194219819504024
121,172.0,47.766784194906876,171.96042310166476,1.0,0.020935049676352815
122,173.0,47.84853617484193,172.25473022943095,1.0,0.020899280938207376
123,175.0,48.0111899760544,172.84028391379584,2.0,0.04165695540971804
124,176.0,48.091882409974104,173.1307766759068,1.0,0.020793530007313734
125,177.0,48.172228302127216,173.42002188765798,1.0,0.020758848723546414
126,179.0,48.33210074933772,173.99556269761578,2.0,0.041380365616063265
127,180.0,48.41142447568367,174.2811281124612,1.0,0.020656281256551022
128,181.0,48.49041374902825,174.5654894965017,1.0,0.020622632860501013
129,182.0,48.56907148324658,174.8486573396877,1.0,0.020589234454377825
130,184.0,48.7256037013596,175.41217332489458,2.0,0.04104618204954521
131,185.0,48.80328307063445,175.69181905428403,1.0,0.020490424764101834
132,186.0,48.88064216244501,175.97031178480202,1.0,0.020457996371584086
133,187.0,48.957683693937675,176.24766129817564,1.0,0.02042580294957516
134,189.0,49.11101712566635,176.79966165239887,2.0,0.0407240598353391
135,190.0,49.18712113368404,177.07363608126255,1.0,0.02033052508363182
136,191.0,49.2629180922208,177.3465051319949,1.0,0.020299244111523954
137,192.0,49.33841053960413,177.61827794257488,1.0,0.020268184342851825
138,193.0,49.413600980380025,177.88896352936808,1.0,0.020237343163819536
139,195.0,49.56326963023788,178.4277706688564,2.0,0.04035246292104641
140,196.0,49.63756802470588,178.69524488894118,1.0,0.02014603131850204
141,197.0,49.711574110929845,178.96166679934746,1.0,0.02011603973289059
142,198.0,49.785290233473944,179.2270448405062,1.0,0.02008625429942023
143,200.0,49.93203919831396,179.75534111393026,2.0,0.04005444264065894
144,201.0,50.00489851193459,180.01763464296454,1.0,0.019998040787170712
145,202.0,50.07747694808158,180.2789170130937,1.0,0.019969057167891303
146,203.0,50.14977670513995,180.53919613850383,1.0,0.019940268246448803
147,204.0,50.2217999537943,180.79847983365948,1.0,0.01991167184210906
148,205.0,50.2935488375096,181.05677581503454,1.0,0.019883265808719124
149,207.0,50.436400814502754,181.5710429322099,2.0,0.03965390011384217
150,208.0,50.507338564443806,181.8264188319977,1.0,0.019799103029831407
151,209.0,50.57801026517425,182.0808369546273,1.0,0.019771438116231218
152,210.0,50.64841793085207,182.33430455106745,1.0,0.019743953332663884
153,211.0,50.71856355108821,182.58682878391755,1.0,0.019716646726256587
154,212.0,50.78844909135874,182.83841672889147,1.0,0.019689516374110785
155,213.0,50.85807649340829,183.08907537626985,1.0,0.019662560382707552
156,215.0,50.9967244918899,183.58820817080365,2.0,0.039218205089192805
