,Distance,speed,speed (km/h),dx,t(s)
0,0.0,12.518999858397573,45.068399490231265,0.0,0.0
1,1.0,13.986225416047905,50.350411497772456,1.0,0.07149891913314883
2,3.0,16.283839878259393,58.62182356173381,2.0,0.12282115366844196
3,4.0,17.17468612796025,61.828870060656904,1.0,0.05822522709000243
4,6.0,18.74661112221667,67.48780003998002,2.0,0.10668594910094409
5,7.0,19.42291160563765,69.92248178029554,1.0,0.051485586728909495
6,8.0,20.0534448126119,72.19240132540284,1.0,0.0498667440604063
7,10.0,21.220536349475058,76.39393085811021,2.0,0.094248324691825
8,11.0,21.74919088223826,78.29708717605774,1.0,0.045978721940256734
9,13.0,22.744508686368768,81.88023127092757,2.0,0.08793331294065893
10,14.0,23.20442337462916,83.53592414866499,1.0,0.0430952316226639
11,15.0,23.64612325324629,85.12604371168665,1.0,0.042290230381113895
12,17.0,24.489076902598473,88.1606768493545,2.0,0.08166906445492787
13,18.0,24.88506718554273,89.58624186795383,1.0,0.040184741819019945
14,20.0,25.645874384578175,92.32514778448143,2.0,0.07798525291080248
15,21.0,26.006284564193706,93.62262443109735,1.0,0.03845224401554201
16,23.0,26.70220389862149,96.12793403503737,2.0,0.07490018455380197
17,24.0,27.033974345075855,97.32230764227307,1.0,0.03699049156574148
18,25.0,27.35741648190311,98.4866993348512,1.0,0.036553159201326575
19,27.0,27.985067300551954,100.74624228198704,2.0,0.07146668537618824
20,28.0,28.28621121060948,101.83036035819413,1.0,0.035352914271704367
21,30.0,28.872278011489797,103.94020084136328,2.0,0.06927059926494525
22,31.0,29.15452496768554,104.95628988366795,1.0,0.0342999929207691
23,32.0,29.43110924130653,105.9519932687035,1.0,0.0339776524153735
24,34.0,29.971031883123583,107.8957147792449,2.0,0.06673110247919699
25,35.0,30.232101771451532,108.83556637722552,1.0,0.033077422388949146
26,37.0,30.74269461034526,110.67370059724294,2.0,0.06505610602289162
27,38.0,30.99019324406457,111.56469567863246,1.0,0.0322682724862171
28,39.0,31.233546365434005,112.44076691556242,1.0,0.03201685739749024
29,41.0,31.710479525188884,114.15772629067999,2.0,0.06307063248322439
30,42.0,31.942299970317606,114.99227989314339,1.0,0.031306449470741
31,44.0,32.3972293515206,116.63002566547416,2.0,0.06173367414538267
32,45.0,32.618742307023965,117.42747230528627,1.0,0.03065722125603429
33,47.0,33.05394471707452,118.99420098146828,2.0,0.06050715026962786
34,48.0,33.26617827438205,119.75824178777538,1.0,0.0300605615635172
35,49.0,33.47552626107617,120.5118945398742,1.0,0.029872569954568717
36,51.0,33.887374433019005,121.99454795886842,2.0,0.05901903093593614
37,52.0,34.0885762685354,122.71887456672744,1.0,0.02933534073475004
38,54.0,34.484742572612504,124.14507326140502,2.0,0.05799666318484811
39,55.0,34.67850932918416,124.84263358506297,1.0,0.028836302924890624
40,56.0,34.86994384875834,125.53179785553003,1.0,0.02867799283925742
41,58.0,35.24726295403768,126.89014663453565,2.0,0.05674199448076277
42,59.0,35.432065210028796,127.55543475610366,1.0,0.028223023243842897
43,61.0,35.79655940357534,128.86761385287122,2.0,0.05587129135657214
44,62.0,35.975244011640726,129.5108784419066,1.0,0.027796892765381217
45,64.0,36.32788925828377,130.78040132982156,2.0,0.05505412069995078
46,65.0,36.50090931122776,131.40327352041993,1.0,0.02739657775299307
47,66.0,36.67213605602226,132.01968980168013,1.0,0.027268659738618663
48,68.0,37.01031209537208,133.2371235433395,2.0,0.054038993101333185
49,69.0,37.1763989704199,133.83503629351165,1.0,0.02689878599580526
50,71.0,37.50458759807029,135.01651535305305,2.0,0.053326809547504676
51,72.0,37.66587873757254,135.59716345526115,1.0,0.026549227935640275
52,73.0,37.82564409578446,136.17231874482405,1.0,0.026437091129703896
53,75.0,38.14153226271879,137.30951614578765,2.0,0.05243627828646223
