,Distance,speed,speed (km/h),dx,t(s)
0,0.0,15.747637040557992,56.69149334600877,0.0,0.0
1,1.0,16.610845648829603,59.79904433578657,1.0,0.060201630979001955
2,3.0,18.133662357727534,65.28118448781912,2.0,0.11029211642664748
3,4.0,18.788686325528825,67.63927077190377,1.0,0.053223518806701564
4,6.0,19.99133216931181,71.96879580952252,2.0,0.100043357944407
5,7.0,20.531119802071775,73.91203128745839,1.0,0.04870654935728791
6,8.0,21.04292828787155,75.75454183633758,1.0,0.04752190314578827
7,10.0,22.00649415588664,79.2233789611919,2.0,0.0908822634733488
8,11.0,22.451717489542776,80.826182962354,1.0,0.04454002240433343
9,13.0,23.29903544020757,83.87652758474727,2.0,0.08584046344461811
10,14.0,23.695711679357288,85.30456204568624,1.0,0.042201728883760774
11,15.0,24.079012391599615,86.68444460975861,1.0,0.04152994249668095
12,17.0,24.815429222674684,89.33554520162886,2.0,0.08059501941528109
13,18.0,25.164279096721362,90.59140474819691,1.0,0.03973886937735838
14,20.0,25.83786943570266,93.01632996852958,2.0,0.07740576307876254
15,21.0,26.158990504347805,94.1723658156521,1.0,0.038227774876625806
16,23.0,26.781447256093667,96.4132101219372,2.0,0.07467856314392919
17,24.0,27.079671754261376,97.48681831534095,1.0,0.03692806947863523
18,25.0,27.371139382153,98.53610177575081,1.0,0.036534832768125
19,27.0,27.938371481997002,100.57813733518921,2.0,0.07158613383349008
20,28.0,28.211545634598732,101.56156428455543,1.0,0.035446480421604296
21,30.0,28.744437632930055,103.4799754785482,2.0,0.0695786790314092
22,31.0,29.00187078340945,104.40673482027402,1.0,0.034480534289258714
23,32.0,29.25454361428754,105.31635701143516,1.0,0.034182724337959346
24,34.0,29.748711877880666,107.0953627603704,2.0,0.06722980168721451
25,35.0,29.988247871369808,107.95769233693132,1.0,0.03334639637131697
26,37.0,30.45747313521761,109.6469032867834,2.0,0.06566532919920477
27,38.0,30.68540064799454,110.46744233278035,1.0,0.032588787465134675
28,39.0,30.909760000903198,111.27513600325152,1.0,0.032352240844664586
29,41.0,31.3500464325025,112.860167157009,2.0,0.06379575878160354
30,42.0,31.564428741228763,113.63194346842354,1.0,0.03168123232003315
31,44.0,31.985620740598076,115.14823466615307,2.0,0.06252809711651085
32,45.0,32.19102126585258,115.88767655706928,1.0,0.03106456274690405
33,47.0,32.594976954788926,117.34191703724014,2.0,0.061359147539024585
34,48.0,32.79224003903954,118.05206414054236,1.0,0.030495019517101863
35,49.0,32.986962504185605,118.75306501506819,1.0,0.030315007023550996
36,51.0,33.37037027888813,120.13333300399728,2.0,0.05993340748949694
37,52.0,33.557896350754675,120.80842686271683,1.0,0.029799245743766987
38,54.0,33.92742210430216,122.13871957548778,2.0,0.05894936532022545
39,55.0,34.10834807995723,122.79005308784603,1.0,0.029318335724022374
40,56.0,34.28719733380002,123.43391040168008,1.0,0.029165405100469048
41,58.0,34.63994967576496,124.70381883275385,2.0,0.05773680443304032
42,59.0,34.81287781228361,125.326360124221,1.0,0.02872500243709106
43,61.0,35.154161893089785,126.55498281512322,2.0,0.056892268007479874
44,62.0,35.32160749012138,127.15778696443697,1.0,0.028311282273313195
45,64.0,35.65225712785918,128.34812566029305,2.0,0.056097430040051285
