,Distance,Turn Radius
281,316.0,65.008064
282,317.0,64.62044
283,317.0,64.04158
284,318.0,64.05306
285,318.0,63.513626
286,319.0,61.906715
287,320.0,59.88081
288,320.0,58.31021
289,321.0,57.520306
290,321.0,55.92978
291,322.0,53.992443
292,322.0,52.24807
293,323.0,51.052986
294,323.0,49.64367
295,324.0,47.57275
296,324.0,45.575058
297,325.0,44.389637
298,325.0,42.749786
299,326.0,42.579067
300,326.0,41.50548
301,327.0,40.785973
302,327.0,39.89161
303,328.0,39.312023
304,328.0,39.446995
305,329.0,39.62812
306,329.0,40.92236
307,330.0,40.691124
308,330.0,42.036774
309,331.0,42.297066
310,331.0,42.626904
311,332.0,42.73828
312,332.0,41.97851
313,333.0,41.21038
314,333.0,39.719707
315,333.0,39.964413
316,334.0,39.95891
317,334.0,39.631165
318,335.0,39.09751
319,335.0,39.24403
320,336.0,39.49141
321,336.0,39.353573
322,337.0,40.816868
323,337.0,41.571354
324,338.0,42.968727
325,338.0,41.04963
326,339.0,39.78451
327,339.0,40.743484
328,340.0,42.599842
329,340.0,42.94675
330,340.0,40.67323
331,341.0,39.94858
332,341.0,38.846058
333,342.0,37.167778
334,342.0,37.243958
335,343.0,36.94646
336,343.0,35.187237
337,344.0,33.401157
338,344.0,33.55782
339,345.0,36.660328
340,345.0,34.998028
341,345.0,33.871296
342,346.0,34.681202
343,346.0,36.538662
344,347.0,37.251526
345,347.0,36.441223
346,348.0,35.814346
347,348.0,37.08592
348,349.0,37.197357
349,349.0,37.304913
350,350.0,36.254105
351,350.0,35.27006
352,350.0,35.543724
353,351.0,36.33731
354,351.0,36.026573
355,352.0,34.0691
356,352.0,33.052143
357,353.0,35.25634
358,353.0,36.440445
359,354.0,35.940758
360,354.0,35.797943
361,355.0,36.36603
362,355.0,37.080853
363,355.0,40.629646
364,356.0,45.743244
365,356.0,43.742836
366,357.0,52.5147
367,357.0,48.9754
368,358.0,43.319687
369,358.0,51.018673
370,359.0,73.20333
371,359.0,55.17455
372,360.0,45.551327
373,360.0,46.860886
374,361.0,48.30042
375,361.0,60.517258
376,361.0,57.771954
377,362.0,46.068058
378,362.0,41.55525
379,363.0,41.617943
380,363.0,37.549152
381,364.0,45.112198
382,364.0,47.793
383,365.0,54.14934
384,365.0,63.263138
385,366.0,70.883606
386,366.0,78.73628
387,367.0,93.49961
388,367.0,103.155975
389,368.0,190.295
390,368.0,283.6875
391,369.0,322.561
392,369.0,357.1216
393,370.0,484.41043
394,370.0,978.9018
395,371.0,34281.13
396,371.0,-1270.6265
397,372.0,-881.86743
398,372.0,-598.145
399,373.0,-777.2419
400,373.0,-897.1706
401,374.0,-969.1003
402,374.0,-1327.7317
403,375.0,-2725.4712
404,375.0,-5805.027
405,376.0,54604.676
406,376.0,3448.811
407,377.0,1435.267
408,377.0,1171.3738
409,378.0,1129.2649
410,378.0,887.25397
411,379.0,701.9192
412,379.0,740.8377
413,380.0,762.4484
414,380.0,636.7621
415,381.0,657.2201
416,382.0,633.0206
417,382.0,652.9286
418,383.0,620.60077
419,383.0,574.51935
420,384.0,627.6075
421,384.0,796.15784
422,385.0,1056.9802
423,385.0,1128.61
424,386.0,1437.3839
425,387.0,2321.4368
426,387.0,5041.69
427,388.0,-218862.3
428,388.0,-5158.4805
429,389.0,-2854.005
430,389.0,-1107.6014
431,390.0,-726.7874
432,391.0,-671.5919
433,391.0,-1064.546
434,392.0,-2395.2637
435,392.0,-2283.4504
436,393.0,-1073.6542
437,394.0,-669.7571
438,394.0,-511.83075
439,395.0,-695.18463
440,395.0,-463.79364
441,396.0,-349.98355
442,397.0,-286.50977
443,397.0,-235.81444
444,398.0,-183.02563
445,398.0,-142.67204
446,399.0,-130.96194
447,400.0,-115.066185
448,400.0,-113.482796
449,401.0,-121.32452
450,402.0,-122.00009
451,402.0,-131.93098
452,403.0,-157.23976
453,403.0,-173.93385
454,404.0,-171.00073
455,405.0,-221.2104
456,405.0,-172.93784
457,406.0,-144.20427
458,407.0,-131.96495
459,407.0,-117.13695
460,408.0,-104.85946
461,409.0,-96.782555
462,409.0,-87.93029
463,410.0,-102.3085
464,411.0,-118.97434
465,411.0,-136.9808
466,412.0,-169.71841
467,413.0,-177.29904
468,413.0,-184.91362
469,414.0,-204.41078
470,415.0,-182.82324
471,415.0,-188.60963
472,416.0,-158.66013
473,417.0,-159.8937
474,417.0,-165.41153
475,418.0,-184.1932
476,419.0,-225.06241
477,419.0,-247.63097
478,420.0,-204.9844
479,421.0,-176.7921
480,421.0,-155.10356
481,422.0,-183.07802
482,423.0,-131.48499
483,423.0,-105.48302
484,424.0,-104.016266
485,425.0,-123.17176
486,425.0,-162.83546
487,426.0,-188.11179
488,427.0,-155.76218
489,427.0,-171.166
490,428.0,-292.44476
491,429.0,-208.96483
492,430.0,-121.882416
493,430.0,-94.88062
494,431.0,-91.11625
495,432.0,-90.75408
496,432.0,-93.38201
497,433.0,-74.42575
498,434.0,-74.23563
499,434.0,-75.978035
500,435.0,-71.71253
501,436.0,-69.95996
502,436.0,-74.37832
503,437.0,-78.25841
504,438.0,-81.877205
505,439.0,-87.31478
506,439.0,-79.27406
507,440.0,-86.27497
508,441.0,-90.31576
509,441.0,-76.12754
510,442.0,-65.97561
511,443.0,-69.93911
512,443.0,-70.07238
513,444.0,-66.9685
514,445.0,-71.3273
515,445.0,-77.023056
516,446.0,-74.663765
517,447.0,-72.68489
518,448.0,-80.454834
519,448.0,-93.42277
520,449.0,-86.3102
521,450.0,-94.664474
522,450.0,-99.138626
523,451.0,-94.949905
524,452.0,-96.67096
525,452.0,-96.84203
526,453.0,-94.30961
527,454.0,-92.19572
528,454.0,-90.733185
529,455.0,-90.42729
530,456.0,-94.814064
531,457.0,-94.537865
532,457.0,-96.55652
533,458.0,-97.474106
534,459.0,-98.414085
535,459.0,-101.11267
536,460.0,-103.93466
537,461.0,-105.75967
538,461.0,-108.36843
539,462.0,-107.5478
540,463.0,-107.98412
541,463.0,-108.08952
542,464.0,-107.86989
543,465.0,-107.3379
544,466.0,-106.33454
545,466.0,-106.517555
546,467.0,-109.5125
547,468.0,-107.375565
548,468.0,-111.17088
549,469.0,-114.38914
550,470.0,-114.73354
551,470.0,-117.396126
552,471.0,-124.28522
553,472.0,-125.75555
554,473.0,-130.81602
555,473.0,-137.7013
556,474.0,-141.75528
557,475.0,-149.22882
558,475.0,-156.2563
559,476.0,-164.0692
560,477.0,-174.29138
561,478.0,-182.29738
562,478.0,-190.80576
563,479.0,-200.8329
564,480.0,-215.12357
565,481.0,-218.19942
566,481.0,-229.65636
567,482.0,-263.70874
568,483.0,-307.64053
569,483.0,-329.37222
570,484.0,-386.5263
571,485.0,-569.8779
572,486.0,-881.3724
573,486.0,-1147.2046
574,487.0,-1521.7474
575,488.0,-3477.9336
576,489.0,7775.573
577,489.0,2339.232
578,490.0,1431.1807
579,491.0,1005.75397
580,492.0,687.4725
581,492.0,516.17993
582,493.0,447.17245
583,494.0,390.92273
584,495.0,337.03934
585,495.0,310.38223
586,496.0,317.73468
587,497.0,309.1126
588,498.0,302.27847
589,498.0,302.0656
590,499.0,290.93768
591,500.0,280.44058
592,501.0,269.2181
593,501.0,251.24458
594,502.0,232.81969
595,503.0,226.56766
596,504.0,237.28917
597,504.0,229.32085
598,505.0,219.38696
599,506.0,206.78812
600,507.0,199.86127
601,507.0,190.58543
602,508.0,168.06697
603,509.0,145.19307
604,510.0,153.80609
605,511.0,154.63931
606,511.0,156.24779
607,512.0,157.52682
608,513.0,159.98273
609,514.0,163.05592
610,515.0,164.68394
611,515.0,165.72859
612,516.0,163.33818
613,517.0,164.54613
614,518.0,162.43063
615,518.0,157.1752
616,519.0,150.63947
617,520.0,143.46492
618,521.0,136.11984
619,522.0,129.85059
620,522.0,127.701805
621,523.0,132.94998
622,524.0,128.68414
623,525.0,126.95602
624,526.0,126.880325
625,526.0,125.873924
626,527.0,123.8054
627,528.0,122.95957
628,529.0,124.2184
629,530.0,127.1132
630,530.0,126.82325
631,531.0,125.56832
632,532.0,126.676865
633,533.0,130.67189
634,534.0,135.28525
635,534.0,138.03574
636,535.0,141.27583
637,536.0,144.9554
638,537.0,140.74136
639,538.0,132.07913
640,538.0,125.513214
641,539.0,120.36243
642,540.0,114.85029
643,541.0,109.63539
644,542.0,106.82243
645,543.0,105.42547
646,543.0,104.35323
647,544.0,103.206696
648,545.0,102.684074
649,546.0,103.211945
650,547.0,104.400185
651,547.0,105.821
652,548.0,107.5036
653,549.0,109.2195
654,550.0,111.91507
655,551.0,117.25667
656,552.0,122.185425
657,552.0,126.88015
658,553.0,133.18909
659,554.0,141.72166
660,555.0,149.32819
661,556.0,153.08821
662,557.0,154.0641
663,557.0,154.56145
664,558.0,153.50342
665,559.0,147.25276
666,560.0,142.9739
667,561.0,140.00812
668,562.0,134.18283
669,563.0,128.7114
670,563.0,125.75168
671,564.0,126.51655
672,565.0,125.639046
673,566.0,126.26509
674,567.0,129.88585
675,568.0,131.8067
676,568.0,130.4394
677,569.0,131.64116
678,570.0,128.12364
679,571.0,122.59216
680,572.0,118.646706
681,573.0,112.32865
682,574.0,109.33564
683,574.0,109.31419
684,575.0,110.51716
685,576.0,113.21258
686,577.0,117.46559
687,578.0,122.23994
688,579.0,131.30228
689,580.0,143.70084
690,580.0,148.99022
691,581.0,146.06415
692,582.0,141.26201
693,583.0,137.22539
694,584.0,131.1033
695,585.0,124.03346
696,586.0,120.17936
697,586.0,119.10681
698,587.0,119.321205
699,588.0,120.09153
700,589.0,121.608696
701,590.0,124.44582
702,591.0,127.94944
703,592.0,132.4282
704,593.0,135.40082
705,593.0,137.04257
706,594.0,137.92043
707,595.0,138.95808
708,596.0,140.5599
709,597.0,142.89299
710,598.0,145.1688
711,599.0,148.29993
712,600.0,151.48566
713,600.0,155.31061
714,601.0,158.25949
715,602.0,159.14108
716,603.0,159.26395
717,604.0,160.74889
718,605.0,165.91429
719,606.0,175.50333
720,607.0,183.83229
721,608.0,194.09148
722,608.0,208.11786
723,609.0,228.81964
724,610.0,251.01471
725,611.0,269.90347
726,612.0,282.90637
727,613.0,288.2479
728,614.0,288.9492
729,615.0,277.38092
730,616.0,258.18802
731,616.0,243.76315
732,617.0,235.43074
733,618.0,230.01332
734,619.0,223.6308
735,620.0,214.6576
736,621.0,214.06209
737,622.0,209.34471
738,623.0,196.35178
739,624.0,187.61874
740,625.0,187.25581
741,626.0,190.32376
742,626.0,189.89879
743,627.0,186.70917
744,628.0,185.35684
745,629.0,191.49806
746,630.0,179.79474
747,631.0,171.53304
748,632.0,167.98517
749,633.0,161.92084
750,634.0,154.74594
751,635.0,152.12396
752,636.0,151.51248
753,637.0,149.08533
754,638.0,152.0798
755,639.0,156.56126
756,639.0,159.52412
757,640.0,165.90578
758,641.0,176.89886
759,642.0,189.70282
760,643.0,201.95668
761,644.0,212.81918
762,645.0,218.37328
763,646.0,218.75667
764,647.0,212.4281
765,648.0,199.9849
766,649.0,186.05212
767,650.0,173.96136
768,651.0,164.14513
769,652.0,157.13089
770,653.0,152.62946
771,654.0,151.98285
772,655.0,152.84329
773,656.0,158.51741
774,657.0,165.1054
775,657.0,171.56197
776,658.0,182.84354
777,659.0,189.40712
778,660.0,188.84045
779,661.0,192.38994
780,662.0,191.75719
781,663.0,185.59772
782,664.0,181.38982
783,665.0,177.85916
784,666.0,168.73958
785,667.0,160.38588
786,668.0,161.42334
787,669.0,161.57683
788,670.0,156.09035
789,671.0,149.75043
