cx,cy
-567.9846863,337.2079434
-566.8835068,332.2863833
-565.7157828,327.3801862
-564.4817283,322.4902517
-563.1815697,317.6174766
-561.8155454,312.7627544
-560.383906,307.9269754
-558.8869139,303.1110265
-557.3248436,298.3157907
-555.6979817,293.5421474
-554.0066264,288.7909721
-552.2510879,284.0631359
-550.4316882,279.359506
-548.5487609,274.6809448
-546.6026513,270.0283104
-544.5937163,265.4024559
-542.5223242,260.8042296
-540.388855,256.2344748
-538.1936999,251.6940295
-535.9372614,247.1837263
-533.6199533,242.7043923
-531.2422006,238.2568489
-528.8550363,233.8635077
-526.4763033,229.4856833
-524.0975702,225.1078588
-521.7188372,220.7300344
-519.3401041,216.3522099
-516.961371,211.9743854
-514.582638,207.596561
-512.2039049,203.2187365
-509.8251719,198.8409121
-507.4464388,194.4630876
-505.0677058,190.0852631
-502.6889727,185.7074387
-500.3102396,181.3296142
-497.9315066,176.9517897
-495.5527735,172.5739653
-493.1740405,168.1961408
-490.7953074,163.8183164
-488.4165744,159.4404919
-486.0378413,155.0626674
-483.6591082,150.684843
-481.2803752,146.3070185
-478.9016421,141.9291941
-476.5229091,137.5513696
-474.144176,133.1735451
-471.7654429,128.7957207
-469.3867099,124.4178962
-467.0079768,120.0400718
-464.6292438,115.6622473
-462.2505107,111.2844228
-459.8717777,106.9065984
-457.4930446,102.5287739
-455.1143115,98.15094945
-452.7355785,93.77312499
-450.3568454,89.39530053
-447.9781124,85.01747607
-445.5993793,80.63965161
-443.2206463,76.26182715
-440.8419132,71.88400269
-438.4631801,67.50617823
-436.0844471,63.12835377
-433.705714,58.75052931
-431.326981,54.37270485
-428.9482479,49.99488039
-426.5695149,45.61705593
-424.1907818,41.23923146
-421.8120487,36.861407
-419.4333157,32.48358254
-417.0545826,28.10575808
-414.6758496,23.72793362
-412.2971165,19.35010916
-409.9183834,14.9722847
-407.5396504,10.59446024
-405.1609173,6.216635779
-402.7821843,1.838811319
-400.4034512,-2.539013142
-398.0247182,-6.916837603
-395.6459851,-11.29466206
-393.267252,-15.67248652
-390.888519,-20.05031098
-388.5097859,-24.42813545
-386.1310529,-28.80595991
-383.7523198,-33.18378437
-381.3735868,-37.56160883
-378.9948537,-41.93943329
-376.6161206,-46.31725775
-374.2373876,-50.69508221
-371.8586545,-55.07290667
-369.4799215,-59.45073113
-367.1011884,-63.82855559
-364.7224553,-68.20638005
-362.3437223,-72.58420451
-359.9649892,-76.96202897
-357.5862562,-81.33985343
-355.2075231,-85.7176779
-352.8287901,-90.09550236
-350.450057,-94.47332682
-348.0713239,-98.85115128
-345.6925909,-103.2289757
-343.3138578,-107.6068002
-340.9351248,-111.9846247
-338.5563917,-116.3624491
-336.1776587,-120.7402736
-333.7989256,-125.118098
-331.4201925,-129.4959225
-329.0414595,-133.873747
-326.6627264,-138.2515714
